Show Code,Show Name
IP1,Life Guru
IP2,Aarohee
IP3,Neha Kumari
IP4,Phichle Hafte Mae
IP5,Preeti
IP6,Jasmine
IP7,Bollywood Baaja
IP8,HPF Hindi
IP9,De dana Dan
IP10,Masti band
IP11,Aaarohi Telugu
IP12,Bollywood baja telugu
IP13,HPF Telugu
IP14,Mastiband Telugu
IP15,Nenjenenje
IP16,Kollywood Kothu
IP17,Takkunumusic
IP18,HPF tamil
IP19,Simran
IP20,Punjabi Tadka
IP21, HPF Punjabi
IP22,Desiband punjabi
IP23,Khaufnaak Raten
IP24,HPF Kannada
IP25,Saanvi
IP26,HPF Marathi
IP27,Aarohi Marathi
IP28,Radda cinemacha
IP29,Aakriti
IP30,Dhamal band
IP31,Aparna horror Tamil
IP32,Swetha Prasad
IP33,Mohini
IP34,Ram Tamil
IP35,Neha kum Malyalam
IP36,Mastiband Malyalam
IP37,Aarohee malyalam
IP38,DDD Gujrati
IP39,Daramani Rato
IP40,Mastiband Gujrati
IP41,DC Gujrati
