"","ShowCode","ShowName","episode","drop5","Avg100","Avg95"
"1","IP1","Life Guru","EP1",54.04,19.8325,41.1694952132289
"2","IP1","Life Guru","EP2",57.67,17.3917,38.756201275691
"3","IP1","Life Guru","EP3",49.78,19.5192,37.1758263639984
"4","IP1","Life Guru","EP4",56.11,17.6476,37.8737753474595
"5","IP1","Life Guru","EP5",38.34,25.8266,40.7281868310088
"6","IP2","Aarohee","EP1",71.8,8.8917,28.0102836879433
"7","IP2","Aarohee","EP2",58.95,12.7646,28.2448233861145
"8","IP2","Aarohee","EP3",66.74,9.362,23.9786530366807
"9","IP2","Aarohee","EP4",73.25,7.3878,22.538691588785
"10","IP2","Aarohee","EP5",61.79,11.1161,25.5100758963622
"11","IP2","Aarohee","EP6",57.83,12.3648,26.8133744368034
"12","IP2","Aarohee","EP7",67.59,9.6411,25.8497377352669
"13","IP2","Aarohee","EP8",82.32,5.4598,22.5005656108597
"14","IP2","Aarohee","EP9",54.14,10.8844,21.6777147841256
"15","IP2","Aarohee","EP10",67.8,10.4019,28.1133540372671
"16","IP2","Aarohee","EP11",66.11,9.9331,25.342874004131
"17","IP2","Aarohee","EP12",68.48,9.4751,26.3236040609137
"18","IP2","Aarohee","EP13",55.83,12.8851,26.3841974190627
"19","IP2","Aarohee","EP14",53.56,10.3277,20.1742032730405
"20","IP2","Aarohee","EP15",54.37,11.1317,21.3797939951786
"21","IP3","Neha Kumari","EP1",46.2,24.9407,44.9563197026022
"22","IP3","Neha Kumari","EP2",32.91,32.7587,48.0633477418393
"23","IP3","Neha Kumari","EP3",62.06,20.9035,52.6217712177122
"24","IP3","Neha Kumari","EP4",40.17,35.4855,58.2339963229149
"25","IP3","Neha Kumari","EP5",34.76,40.542,61.1190987124463
"26","IP3","Neha Kumari","EP6",32.52,45.4004,66.2542975696503
"27","IP4","Phichle Hafte Mae","EP1",46.3,23.2887,42.4964618249534
"28","IP4","Phichle Hafte Mae","EP2",48.07,20.0299,37.5362988638552
"29","IP4","Phichle Hafte Mae","EP3",49.69,20.8916,40.4818127608825
"30","IP4","Phichle Hafte Mae","EP4",40.58,26.6703,44.001346348031
"31","IP4","Phichle Hafte Mae","EP5",45.62,24.9028,44.5417432879735
"32","IP4","Phichle Hafte Mae","EP6",44.8,23.4296,41.3297101449275
"33","IP4","Phichle Hafte Mae","EP7",53.63,18.6835,38.4589174034936
"34","IP4","Phichle Hafte Mae","EP8",67.69,13.0056,38.3450943980192
"35","IP4","Phichle Hafte Mae","EP9",62.6,15.7012,40.144385026738
"36","IP4","Phichle Hafte Mae","EP10",64.75,13.7217,37.0209929078014
"37","IP4","Phichle Hafte Mae","EP11",48,26.4065,49.8807692307692
"38","IP4","Phichle Hafte Mae","EP12",42.47,25.7163,43.8020163393012
"39","IP4","Phichle Hafte Mae","EP13",51.18,22.5009,44.7007374027038
"40","IP4","Phichle Hafte Mae","EP14",42.5,26.2748,44.4638260869565
"41","IP5","Preeti","EP1",55.53,17.5194,37.2444344501911
"42","IP5","Preeti","EP2",51.8,17.8656,35.0591286307054
"43","IP5","Preeti","EP3",36.61,28.1138,43.1372456223379
"44","IP5","Preeti","EP4",45.27,22.0779,38.8218527315914
"45","IP5","Preeti","EP5",39.98,30.2568,49.2992335888037
"46","IP5","Preeti","EP6",55.92,14.888,31.1388384754991
"47","IP5","Preeti","EP7",48.62,20.6669,38.2263526664072
"48","IP5","Preeti","EP8",64.14,13.9902,36.3622420524261
"49","IP5","Preeti","EP9",67.12,11.4961,31.5967153284672
"50","IP5","Preeti","EP10",41.36,22.343,36.606070941337
"51","IP5","Preeti","EP11",61.13,15.0375,35.5137638281451
"52","IP5","Preeti","EP12",47.35,21.1106,38.2377967711301
"53","IP6","Jasmine","EP1",54.87,21.6782,46.204741856858
"54","IP6","Jasmine","EP2",54.06,22.6218,47.6767522855899
"55","IP6","Jasmine","EP3",61.75,19.6079,49.3819607843137
"56","IP6","Jasmine","EP4",63.57,17.413,45.5253911611309
"57","IP6","Jasmine","EP5",62.22,17.8867,45.3692429857067
"58","IP6","Jasmine","EP6",56.75,18.0632,39.6836994219653
"59","IP6","Jasmine","EP7",57.26,17.7679,39.9508656995788
"60","IP6","Jasmine","EP8",52.64,21.1508,43.1589949324324
"61","IP6","Jasmine","EP9",72.78,10.7435,36.4801616458486
"62","IP6","Jasmine","EP10",69.03,17.2313,52.7985146916371
"63","IP6","Jasmine","EP11",76.67,11.2816,44.7873981997428
"64","IP6","Jasmine","EP12",63.87,19.3214,51.3263216163853
"65","IP6","Jasmine","EP13",71.94,15.0138,50.2587312900927
"66","IP7","Bollywood Baaja","EP1",55.68,16.6771,34.875
"67","IP7","Bollywood Baaja","EP2",49.04,17.8695,32.9089481946625
"68","IP7","Bollywood Baaja","EP3",65.16,13.6657,35.9110218140069
"69","IP7","Bollywood Baaja","EP4",72.27,11.53,37.1803101334295
"70","IP7","Bollywood Baaja","EP5",57.94,16.6009,36.8844507845934
"71","IP7","Bollywood Baaja","EP6",45,19.2953,33.1312727272727
"72","IP7","Bollywood Baaja","EP7",67.57,13.2758,37.5328399629972
"73","IP7","Bollywood Baaja","EP8",65.79,15.1782,41.574393452207
"74","IP7","Bollywood Baaja","EP9",70.35,9.4118,27.4586846543002
"75","IP7","Bollywood Baaja","EP10",66.14,14.9558,40.5493207324277
"76","IP7","Bollywood Baaja","EP11",75.03,10.5304,37.5698838606328
"77","IP7","Bollywood Baaja","EP12",47.6,22.4426,41.5492366412214
"78","IP7","Bollywood Baaja","EP13",59.84,15.1944,34.4367529880478
"79","IP7","Bollywood Baaja","EP14",54.71,19.7399,41.960035327887
"80","IP7","Bollywood Baaja","EP15",69.93,9.9003,28.6664449617559
"81","IP8","HPF Hindi","EP1",65.7,14.809,40.6737609329446
"82","IP8","HPF Hindi","EP2",66.46,13.3374,37.0885509838998
"83","IP8","HPF Hindi","EP3",71.06,9.814,30.3704215618521
"84","IP8","HPF Hindi","EP4",65.7,13.1035,35.2530612244898
"85","IP8","HPF Hindi","EP5",64.72,12.8007,33.5031179138322
"86","IP8","HPF Hindi","EP6",65.03,14.8184,40.0975121532743
"87","IP8","HPF Hindi","EP7",65.91,12.2555,33.0988559694925
"88","IP8","HPF Hindi","EP8",63.26,17.744,46.5421883505716
"89","IP8","HPF Hindi","EP9",61.61,18.6758,46.9169054441261
"90","IP8","HPF Hindi","EP10",63.82,18.2899,48.9657269209508
"91","IP8","HPF Hindi","EP11",66.5,15.9271,45.7620895522388
"92","IP8","HPF Hindi","EP12",74.37,11.0947,40.9769801014436
"93","IP8","HPF Hindi","EP13",64.47,16.0863,42.4264002251618
"94","IP8","HPF Hindi","EP14",60.18,18.0774,43.0057759919638
"95","IP8","HPF Hindi","EP15",72.7,12.6172,43.0765567765568
"96","IP9","De dana Dan","EP1",58.67,23.4775,55.075731913864
"97","IP9","De dana Dan","EP2",58.34,22.0212,51.5350456072972
"98","IP9","De dana Dan","EP3",53.25,28.6818,60.1495187165775
